248,CUSR0000SETB01,2020-08-01,188.325,-18.0,1.8,17.5,-18.3,-18.0
249,CUSR0000SETB01,2020-07-01,185.072,-21.3,3.9,12.3,-23.6,-21.3
250,CUSR0000SETB01,2020-06-01,178.169,-23.1,11.2,-13.0,-27.0,-23.1
251,CUSR0000SETB01,2020-05-01,160.261,-33.9,-2.8,-30.5,-32.4,-33.9
252,CUSR0000SETB01,2020-04-01,164.836,-32.9,-19.6,-32.0,-29.1,-32.9
253,CUSR0000SETB01,2020-03-01,204.901,-10.9,-11.2,-16.1,-10.2,-10.9
254,CUSR0000SETB01,2020-02-01,230.646,6.2,-4.8,-2.6,0.4,6.2
255,CUSR0000SETB01,2020-01-01,242.397,16.1,-0.7,4.3,3.1,16.1
256,CUSR0000SETB01,2019-12-01,244.197,8.5,3.1,7.0,5.4,8.5
257,CUSR0000SETB01,2019-11-01,236.924,-0.6,2.0,3.1,-2.3,-0.6
258,CUSR0000SETB01,2019-10-01,232.348,-8.3,1.8,-1.2,-5.4,-8.3
259,CUSR0000SETB01,2019-09-01,228.23,-8.8,-0.7,-1.5,-0.8,-8.8
260,CUSR0000SETB01,2019-08-01,229.734,-6.7,-2.3,-5.3,5.8,-6.7
261,CUSR0000SETB01,2019-07-01,235.098,-2.6,1.5,-4.3,12.6,-2.6
262,CUSR0000SETB01,2019-06-01,231.691,-4.7,-4.5,0.7,2.9,-4.7
263,CUSR0000SETB01,2019-05-01,242.557,0.1,-1.3,11.7,1.8,0.1
264,CUSR0000SETB01,2019-04-01,245.651,2.9,6.8,17.7,-3.1,2.9
265,CUSR0000SETB01,2019-03-01,230.013,-0.6,5.9,2.2,-8.1,-0.6
266,CUSR0000SETB01,2019-02-01,217.237,-9.4,4.1,-8.8,-11.8,-9.4
267,CUSR0000SETB01,2019-01-01,208.73,-11.3,-7.3,-17.7,-13.5,-11.3
268,CUSR0000SETB01,2018-12-01,225.063,-1.7,-5.6,-10.1,-7.4,-1.7
269,CUSR0000SETB01,2018-11-01,238.309,4.1,-6.0,-3.2,-1.7,4.1
270,CUSR0000SETB01,2018-10-01,253.471,15.7,1.2,5.0,6.1,15.7
271,CUSR0000SETB01,2018-09-01,250.369,9.7,1.7,3.0,8.2,9.7
272,CUSR0000SETB01,2018-08-01,246.229,20.9,2.0,1.6,2.7,20.9
273,CUSR0000SETB01,2018-07-01,241.377,25.8,-0.7,1.1,2.6,25.8
274,CUSR0000SETB01,2018-06-01,243.105,24.2,0.3,5.1,6.2,24.2
275,CUSR0000SETB01,2018-05-01,242.344,22.5,1.5,1.1,5.9,22.5
276,CUSR0000SETB01,2018-04-01,238.803,14.2,3.2,1.5,9.0,14.2
277,CUSR0000SETB01,2018-03-01,231.325,9.8,-3.5,1.1,1.3,9.8
278,CUSR0000SETB01,2018-02-01,239.767,12.2,1.9,4.7,17.8,12.2
279,CUSR0000SETB01,2018-01-01,235.325,8.0,2.8,7.5,22.6,8.0
280,CUSR0000SETB01,2017-12-01,228.888,11.0,0.0,0.3,16.9,11.0
281,CUSR0000SETB01,2017-11-01,228.908,14.9,4.5,12.4,15.7,14.9
282,CUSR0000SETB01,2017-10-01,218.99,10.7,-4.1,14.1,4.7,10.7
283,CUSR0000SETB01,2017-09-01,228.252,20.3,12.1,16.6,8.3,20.3
284,CUSR0000SETB01,2017-08-01,203.585,10.8,6.1,2.9,-4.7,10.8
285,CUSR0000SETB01,2017-07-01,191.889,3.5,-2.0,-8.2,-11.9,3.5
286,CUSR0000SETB01,2017-06-01,195.797,-0.3,-1.0,-7.1,-5.1,-0.3
287,CUSR0000SETB01,2017-05-01,197.848,5.4,-5.4,-7.4,-0.7,5.4
288,CUSR0000SETB01,2017-04-01,209.074,13.2,-0.8,-4.0,5.7,13.2
289,CUSR0000SETB01,2017-03-01,210.69,20.3,-1.4,2.2,11.0,20.3
290,CUSR0000SETB01,2017-02-01,213.626,31.3,-2.0,7.2,16.3,31.3
291,CUSR0000SETB01,2017-01-01,217.892,20.1,5.6,10.2,17.5,20.1
292,CUSR0000SETB01,2016-12-01,206.244,8.1,3.5,8.7,5.0,8.1
293,CUSR0000SETB01,2016-11-01,199.22,0.1,0.7,8.4,6.2,0.1
294,CUSR0000SETB01,2016-10-01,197.788,-0.8,4.2,6.6,7.1,-0.8
295,CUSR0000SETB01,2016-09-01,189.766,-6.0,3.3,-3.4,8.3,-6.0
296,CUSR0000SETB01,2016-08-01,183.715,-18.6,-1.0,-2.1,12.9,-18.6
297,CUSR0000SETB01,2016-07-01,185.486,-20.0,-5.6,0.4,2.2,-20.0
298,CUSR0000SETB01,2016-06-01,196.44,-14.9,4.7,12.1,3.0,-14.9
299,CUSR0000SETB01,2016-05-01,187.627,-16.7,1.6,15.3,-5.7,-16.7
300,CUSR0000SETB01,2016-04-01,184.762,-12.7,5.5,1.8,-7.3,-12.7
301,CUSR0000SETB01,2016-03-01,175.164,-18.4,7.6,-8.2,-13.3,-18.4
302,CUSR0000SETB01,2016-02-01,162.727,-21.4,-10.3,-18.2,-27.9,-21.4
303,CUSR0000SETB01,2016-01-01,181.445,-9.1,-4.9,-9.0,-21.7,-9.1
304,CUSR0000SETB01,2015-12-01,190.765,-20.0,-4.1,-5.5,-17.4,-20.0
305,CUSR0000SETB01,2015-11-01,198.984,-24.1,-0.2,-11.8,-11.7,-24.1
306,CUSR0000SETB01,2015-10-01,199.315,-28.4,-1.3,-14.0,-5.8,-28.4
307,CUSR0000SETB01,2015-09-01,201.935,-29.6,-10.5,-12.5,-5.9,-29.6
308,CUSR0000SETB01,2015-08-01,225.725,-23.4,-2.6,0.2,9.1,-23.4
309,CUSR0000SETB01,2015-07-01,231.775,-22.7,0.4,9.5,16.1,-22.7
310,CUSR0000SETB01,2015-06-01,230.871,-23.6,2.5,7.5,-3.2,-23.6
311,CUSR0000SETB01,2015-05-01,225.281,-25.2,6.5,8.9,-14.1,-25.2
312,CUSR0000SETB01,2015-04-01,211.577,-30.7,-1.4,6.0,-24.0,-30.7
313,CUSR0000SETB01,2015-03-01,214.684,-28.5,3.8,-10.0,-25.2,-28.5
314,CUSR0000SETB01,2015-02-01,206.901,-32.2,3.7,-21.1,-29.8,-32.2
315,CUSR0000SETB01,2015-01-01,199.553,-35.3,-16.3,-28.3,-33.4,-35.3
316,CUSR0000SETB01,2014-12-01,238.491,-21.4,-9.1,-16.9,-21.1,-21.4
317,CUSR0000SETB01,2014-11-01,262.282,-11.7,-5.8,-11.0,-12.9,-11.7
318,CUSR0000SETB01,2014-10-01,278.463,-5.8,-3.0,-7.1,-8.8,-5.8
319,CUSR0000SETB01,2014-09-01,287.003,-3.5,-2.6,-5.1,-4.4,-3.5
320,CUSR0000SETB01,2014-08-01,294.803,-2.8,-1.7,-2.2,-3.3,-2.8
321,CUSR0000SETB01,2014-07-01,299.785,0.3,-0.8,-1.8,-2.8,0.3
322,CUSR0000SETB01,2014-06-01,302.293,1.4,0.3,0.7,-0.3,1.4
323,CUSR0000SETB01,2014-05-01,301.296,2.8,-1.3,-1.2,1.4,2.8
324,CUSR0000SETB01,2014-04-01,305.367,3.4,1.7,-1.0,3.3,3.4
325,CUSR0000SETB01,2014-03-01,300.141,-3.3,-1.6,-1.0,0.9,-3.3
326,CUSR0000SETB01,2014-02-01,305.007,-7.4,-1.1,2.6,0.5,-7.4
327,CUSR0000SETB01,2014-01-01,308.4,0.5,1.7,4.3,3.2,0.5
328,CUSR0000SETB01,2013-12-01,303.304,-1.0,2.1,2.0,1.7,-1.0
329,CUSR0000SETB01,2013-11-01,297.183,-5.7,0.5,-2.1,1.4,-5.7
330,CUSR0000SETB01,2013-10-01,295.64,-11.1,-0.6,-1.0,0.1,-11.1
331,CUSR0000SETB01,2013-09-01,297.39,-9.0,-2.0,-0.2,-4.2,-9.0
332,CUSR0000SETB01,2013-08-01,303.409,-2.2,1.6,3.5,-7.8,-2.2
333,CUSR0000SETB01,2013-07-01,298.754,3.9,0.2,1.2,-2.6,3.9
334,CUSR0000SETB01,2013-06-01,298.112,2.3,1.7,-4.0,-2.7,2.3
335,CUSR0000SETB01,2013-05-01,293.131,-3.5,-0.7,-11.0,-7.0,-3.5
336,CUSR0000SETB01,2013-04-01,295.206,-7.6,-4.9,-3.8,-11.3,-7.6
337,CUSR0000SETB01,2013-03-01,310.442,-2.7,-5.7,1.3,-5.0,-2.7
338,CUSR0000SETB01,2013-02-01,329.253,4.0,7.3,4.4,6.1,4.0
339,CUSR0000SETB01,2013-01-01,306.734,0.2,0.1,-7.8,6.7,0.2
340,CUSR0000SETB01,2012-12-01,306.338,1.9,-2.8,-6.3,5.1,1.9
341,CUSR0000SETB01,2012-11-01,315.264,2.2,-5.2,1.6,3.8,2.2
342,CUSR0000SETB01,2012-10-01,332.699,8.7,1.8,15.7,4.2,8.7
343,CUSR0000SETB01,2012-09-01,326.789,5.7,5.3,12.1,2.4,5.7
344,CUSR0000SETB01,2012-08-01,310.365,1.3,8.0,2.2,-2.0,1.3
345,CUSR0000SETB01,2012-07-01,287.505,-5.7,-1.4,-10.0,-6.1,-5.7
346,CUSR0000SETB01,2012-06-01,291.49,-4.2,-4.0,-8.7,-3.1,-4.2
347,CUSR0000SETB01,2012-05-01,303.692,-3.5,-4.9,-4.1,-1.6,-3.5
348,CUSR0000SETB01,2012-04-01,319.414,3.0,0.1,4.3,4.4,3.0
